"bulan";"product_category_name";"product_category_name_englishh";"jumlah"
"2017-09";"cool_stuff";"cool_stuff";203
"2017-09";"telefonia";"telephony";173
"2017-09";"bebes";"baby";170
"2017-09";"perfumaria";"perfumery";153
"2017-09";"fashion_bolsas_e_acessorios";"fashion_bags_accessories";122
"2017-09";"automotivo";"auto";107
"2017-09";"papelaria";"stationery";75
"2017-09";"";"Unknown";73
"2017-09";"pet_shop";"pet_shop";71
"2017-09";"eletronicos";"electronics";67
"2017-09";"consoles_games";"consoles_games";63
"2017-09";"moveis_escritorio";"office_furniture";60
"2017-09";"malas_acessorios";"luggage_accessories";42
"2017-09";"pcs";"computers";40
"2017-09";"casa_conforto";"home_confort";33
"2017-09";"eletroportateis";"small_appliances";30
"2017-09";"instrumentos_musicais";"musical_instruments";26
"2017-09";"alimentos";"food";17
"2017-09";"fashion_roupa_masculina";"fashion_male_clothing";16
"2017-09";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";16
"2017-09";"livros_interesse_geral";"books_general_interest";14
"2017-09";"fashion_calcados";"fashion_shoes";13
"2017-09";"telefonia_fixa";"fixed_telephony";13
"2017-09";"casa_construcao";"home_construction";11
"2017-09";"market_place";"market_place";11
"2017-09";"moveis_sala";"furniture_living_room";11
"2017-09";"construcao_ferramentas_construcao";"construction_tools_construction";10
"2017-09";"eletrodomesticos";"home_appliances";10
"2017-09";"audio";"audio";10
"2017-09";"alimentos_bebidas";"food_drink";9
"2017-09";"sinalizacao_e_seguranca";"signaling_and_security";9
"2017-09";"livros_tecnicos";"books_technical";8
"2017-09";"climatizacao";"air_conditioning";7
"2017-09";"bebidas";"drinks";6
"2017-09";"eletrodomesticos_2";"home_appliances_2";6
"2017-09";"construcao_ferramentas_jardim";"costruction_tools_garden";5
"2017-09";"construcao_ferramentas_seguranca";"construction_tools_safety";5
"2017-09";"fashion_esporte";"fashion_sport";5
"2017-09";"moveis_quarto";"furniture_bedroom";4
"2017-09";"livros_importados";"books_imported";4
"2017-09";"agro_industria_e_comercio";"agro_industry_and_commerce";4
"2017-09";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";4
"2017-09";"artigos_de_natal";"christmas_supplies";4
"2017-09";"fashion_roupa_feminina";"fashio_female_clothing";4
"2017-09";"construcao_ferramentas_ferramentas";"costruction_tools_tools";3
"2017-09";"artes";"art";3
"2017-09";"tablets_impressao_imagem";"tablets_printing_image";3
